Serial_No,Question,Option A, Option B,Option C,Option D,Answers
1,Computer is a ?,System software,Operating system,Electronic device,Applicaton software,C

2,Full Form Of CPU is ?,Control Processing Unit,Central Processing Unit,Central Processing unity,Common Operating System,B

3,Smallest Unit of data in computer is ?,Byte,Mega Byte,Giga byte,Bit,D

4,Full Form of RAM is ?,Read access memory,Raghav access memory,Random access memory,rabbit control memory,C

5,Keyboard is a ?,Input device,Output device,Storage device,Control device,A

6,Projector is a ?,Input device,Output device,Processing device,Storage device,B

7,1 GB =  ?,1000 B,1028 MB,1024 Byte,1024 MB,D

8,Transform one interface into another interface ?,Adapter,Data,Program,Coder,A

9, CRO stands for ?,Cathode ray oscilloscope,Chief Risk system,Cathode ray system,Circle ray oscilloscope,A

10, Cursor is a ?,Pixel,Thin blinking line,black dot,Pointing device,D
